,mean_val_score,std_val_score,rank_val_score,model__C,model__class_weight,model__max_iter,model__penalty,model__solver
0,0.574468085106383,0.4944234058988192,96,0.1,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
1,0.7340425531914894,0.44184169483606767,82,0.1,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
2,0.6595744680851063,0.47385228619829967,92,0.1,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
3,0.7340425531914894,0.44184169483606767,82,0.1,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
4,0.5851063829787234,0.49270366710252816,95,0.1,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
5,0.723404255319149,0.447314809396354,85,0.1,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
6,0.6063829787234043,0.4885515958810653,94,0.1,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
7,0.7659574468085106,0.42339890940707225,64,0.1,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
8,0.574468085106383,0.4944234058988192,96,0.1,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
9,0.6914893617021277,0.4618785818317534,91,0.1,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
10,0.574468085106383,0.4944234058988192,96,0.1,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
11,0.723404255319149,0.447314809396354,85,0.1,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
12,0.648936170212766,0.47730285689733093,93,0.1,"{'below_than_avg': 1.21, 'higher_than_avg': 0.85}",1000,l1,liblinear
13,0.723404255319149,0.447314809396354,85,0.1,"{'below_than_avg': 1.21, 'higher_than_avg': 0.85}",1000,l2,liblinear
14,0.7340425531914894,0.44184169483606767,82,0.5,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
15,0.776595744680851,0.41652706277557217,54,0.5,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
16,0.7659574468085106,0.42339890940707225,64,0.5,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
17,0.7978723404255319,0.40158693804631646,32,0.5,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
18,0.7446808510638298,0.4360404581259403,81,0.5,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
19,0.7553191489361702,0.42989781598248406,74,0.5,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
20,0.7659574468085106,0.42339890940707225,64,0.5,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
21,0.8085106382978723,0.3934732342320624,17,0.5,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
22,0.723404255319149,0.447314809396354,85,0.5,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
23,0.7127659574468085,0.4524717088965264,90,0.5,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
24,0.7659574468085106,0.42339890940707225,64,0.5,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
25,0.8191489361702128,0.3848947343643732,7,0.5,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
26,0.7659574468085106,0.42339890940707225,64,0.5,"{'below_than_avg': 1.21, 'higher_than_avg': 0.85}",1000,l1,liblinear
27,0.723404255319149,0.447314809396354,85,0.5,"{'below_than_avg': 1.21, 'higher_than_avg': 0.85}",1000,l2,liblinear
28,0.7978723404255319,0.40158693804631646,32,1.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
29,0.8085106382978723,0.3934732342320624,17,1.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
30,0.7872340425531915,0.40926349067385837,43,1.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
