NUTS,air passengers,GDP,farm labour force,deaths,hosp discharges resp diseases,stock of vehicles,thousand hours worked,students tertiary ed,health personnel,students enrolled,utilised agricultural area,hospital beds,education and training,crude death rate,longterm care beds,regional GWA,pop density,unemployment rate,pct leavers from education,NEET rate,compensation of employees,life expectancy,covid_severity,Covid_Cases_Density
AT11,1.1381890672901656,0.12271592237066636,-0.02264438441903891,0.4737944444091002,-0.2601728231120088,0.6975265076403852,-0.16302910635094436,-0.6211369843005444,0.2439830692937083,-1.020296207542126,0.38452401165558175,0.10046651904005828,-0.14766844177330066,0.35522765789268573,-0.6123106639052757,-0.20089107457853378,-0.3531874157268934,-0.861566027908691,-0.6483096514993568,-0.7419114014562119,0.13343650766472034,0.09185092630931282,below_than_avg,0.0015385346900514882
AT12,0.9947226675961467,0.4599995517280531,-0.15323395193048947,-0.03405286992836128,-0.2791651244949522,0.5654627826074351,-0.13196944334722988,-0.7532673251063141,0.47771516941067627,-0.8707477549036918,0.21732305061160195,0.33332262700810794,-0.14766844177330066,0.0044100014155390764,-0.526227322692179,-0.1158559910001979,-0.3442238259750182,-0.861566027908691,-0.7406836753801456,-0.8718547948024433,0.4319204329913166,0.010118158678912262,below_than_avg,0.0022080559904576833
AT13,-0.3212072919847377,1.5005594107704192,-0.9647189025473822,-0.8673263780047665,-0.11888045152055844,-0.5649565001611129,0.38626358303666236,2.5488608940633135,1.8503852151129039,-0.9064435106174279,-0.9241774446876405,0.5562169763465084,1.087747966828346,-0.7437700148909706,-0.5001741770671078,-0.04782792413752823,3.4673206450926184,0.5693953979141154,-0.1453844103706182,-0.38561500034557766,1.555781127994441,-0.23508014421228943,below_than_avg,0.003530782637632764
AT21,-0.5554790523417534,0.5700237140220028,-0.3804605698319671,0.13392459075149707,0.11360310051583829,0.4605543552193346,0.11292680871556313,-0.4280517609181799,0.5724834099133228,-0.9788998885938919,-0.09618419284564077,0.7001643885449391,-0.010399951928673422,0.19255078886705007,-0.6896145635512061,0.1052352263034749,-0.36764221361505245,-0.7497721665162842,-0.6483096514993568,-0.7209527896261746,0.5765554943949278,0.21445007775491076,below_than_avg,0.001083213223753013
AT22,-0.5170565289174097,0.731833935910498,-0.2007825493875945,-0.11159573200465163,0.12323911432867637,0.39922205081182843,0.2365638237067776,0.4729811780870461,0.8011575777561909,-1.005370892980551,-0.2913613021997833,0.6928867704349454,0.19550278283826789,-0.13397178478409738,-0.7165639862736213,0.15625627645047596,-0.3541564524568258,-0.8168484833517282,-1.1512348926280955,-0.7712534580182643,0.7956314816868737,0.21445007775491076,below_than_avg,0.0018453219083837788
AT31,-0.562687575502982,1.0663884042884368,-0.2541276839507553,-0.560239686154629,0.06837724459021075,0.47894932658057365,0.24319396473878682,-0.470561732949815,0.19042694455558795,-0.7717435678239177,-0.19299508676896351,0.34809923564208767,0.07539285422421871,-0.5460698219976141,-0.6533153411087692,0.2072773265974794,-0.31361841592131834,-0.928642344744135,-0.7817387971049407,-0.7880203474822941,1.0448360970525497,0.2553164615701081,below_than_avg,0.002872616469801963
AT32,-0.3260897330552687,1.563079798907868,-0.41796650917747835,-0.8577086485757296,-0.08557871839660323,0.19038493738245507,0.5993043844864472,0.40321416870431537,1.178636223365442,-0.9363679936901879,-0.25202881217839673,0.8808596214660759,0.07539285422421871,-0.9228940705720077,-0.6800203246228179,0.15625627645047596,-0.3522991320577886,-1.1298712952504673,-0.3506600189945932,-0.6538852317700552,1.208772982438551,0.45964838064610664,below_than_avg,0.002764993463584105
AT33,-0.4590505028485687,1.2065119268335947,-0.423931470302346,-0.9624598428887304,0.17935714340507777,0.13458272738391672,0.413495016690443,0.7051692658220627,1.2306688076726717,-0.894879325568771,-0.2042581985960642,0.31663668130344563,0.14402709914653247,-0.9936503684930883,-0.6413989297008985,0.07122119287214007,-0.3672384483109139,-1.1298712952504673,-0.7201561145177482,-0.8886216842664731,0.9582958517215192,0.5413811482765072,below_than_avg,0.005283553800383827
AT34,0.6920464310547888,1.2216754616406138,-0.6849128072265721,-1.1902608005333306,-0.2741414024511265,0.060877965910176884,0.1266467435489295,-1.085239074445315,0.2271402538473984,-0.7167368524728076,-0.5155669189670797,-0.059447378517560406,0.058234292993640344,-1.1376676120492706,-0.5663764626663894,-0.2178980912942,-0.2897962629771456,-0.9957186615795791,-0.6483096514993568,-0.8550879053384135,0.9831624340708293,0.6639802997221051,below_than_avg,0.002653982610622477
BE10,0.6309389996897404,2.7021825189169326,-1.0171120865133576,-1.3676436714814377,-0.2268147359558465,-0.43055735739742507,0.4347415680155061,2.3007483081067925,-0.04206661396776412,1.2432056383335692,-0.9331241026763154,0.42975798485346195,0.023917170532483614,-1.3546535923405854,0.000814165447210134,-1.0002208602148916,4.0,0.9494945266482987,-0.33013245813219577,-0.15087854784915974,2.8858376280571143,-0.02380093988770284,higher_than_avg,0.007543135158464692
