NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,pct leavers from education,longterm care beds,NEET rate,regional GWA,unemployment rate,pop density,life expectancy,crude death rate,compensation of employees per100k,education and training,hospital beds,covid_severity,covid_density_by100k,Covid_Cases
ES53,3327.3451857358195,2791.656239030333,620.2894959631625,660.3481385120485,1512.7299758409217,73894.9802804105,73763.3897045159,2086.4358132523903,363.4186128146359,5965.846909909352,14559.871151582729,21.3,204.91,18.2,112.9,16.1,241.2,84.2,696.86,1212.3810113774805,11.3,287.46,below_than_avg,421.1526151685973,5099
ES61,358.73675688242264,1956.400167349152,2857.2496872229253,831.6148827512068,880.3523154939625,61154.43786053993,60693.63793678358,4066.190434795224,370.72059804085427,6911.739363721727,51532.876005106344,21.8,190.02,17.2,110.6,22.3,97.4,82.6,864.81,883.2244270314409,9.6,217.98,below_than_avg,260.6367500766388,22097
ES62,1.4619212702235211,2150.0921342655074,2690.599646879562,768.7047842702588,1272.8018186300603,64187.381094301236,70504.50238525745,4627.7782318593845,449.6072415605611,7329.408739232452,24976.260392100576,18.7,458.72,12.4,109.9,16.2,132.4,82.9,764.5,991.2557172750585,12.8,325.41,below_than_avg,259.7568293319884,3909
ES70,1789.680070380225,2108.3758904815036,983.0164792721655,704.3386833748176,1076.2667009984837,70787.11054845077,63343.53453208594,3144.8033788229914,391.8208022201242,5631.312047606786,2333.9377163619715,18.2,220.55,19.7,111.2,22.6,299.4,83.5,744.08,971.7245300832548,10.2,290.96,below_than_avg,183.63945870168513,4108
FI13,236.10644974288806,3633.2753628630685,3609.659241596042,1097.2143663499023,2494.534645360353,85374.30852025094,70603.56334545158,5334.6914539322515,699.7805139638316,6956.612897295258,104576.0684442713,8.6,75.49,10.5,109.8,8.8,6.3,82.3,1113.12,1634.787601986173,26.1,388.16,below_than_avg,21.98340370369501,281
FI18,39.60675282078423,3895.910842152727,3051.896162410319,1133.014274099621,2775.6120605447813,82782.9010249009,70877.43668577656,4872.152883806844,778.6298891076957,6301.303802074175,124703.8198319281,8.2,77.98,8.8,109.7,7.7,36.6,82.3,1136.41,1702.5001871527882,24.8,342.38,below_than_avg,65.54699972318797,753
FI19,48.380592056588604,3841.936906485466,1401.3688733632562,1035.4317115559256,2312.843619333582,85991.96896678784,72112.68833614283,5729.219556494315,648.8115527541296,6836.895750341639,57387.94126436548,8.1,78.0,10.5,106.2,7.7,23.7,82.3,1044.96,1761.4459631582154,25.6,333.02,below_than_avg,52.29746157841137,721
FI1A,236.10644974288806,3633.2753628630685,3609.659241596042,1097.2143663499023,2494.534645360353,85374.30852025094,70603.56334545158,5334.6914539322515,699.7805139638316,6956.612897295258,104576.0684442713,8.6,75.49,10.5,109.8,8.8,6.3,82.3,1113.12,1634.787601986173,26.1,388.16,below_than_avg,20.105817622240632,257
FI1B,1304.8868898785304,5619.912707689122,198.84892512095163,731.894243146074,1887.0564627270599,63483.11115714096,85956.52842918226,5424.018701267957,529.367408795861,6720.442675583305,10739.617393362825,8.0,111.19,7.6,111.0,7.2,184.7,82.3,728.54,2551.7957064019292,30.8,274.76,below_than_avg,326.3844708458477,5515
FR10,878.5786861664475,6041.295256573272,67.44466954023807,616.5858401828182,981.1043466665777,51534.82996499141,79258.92781524749,5806.546721460918,386.2895481833587,6761.096254933366,4650.672001927827,5.9,180.78,9.8,107.3,8.2,1026.8,82.2,613.93,3110.243803937939,12.7,534.57,below_than_avg,246.52694528447452,30302
FR23,12.524777934178218,3818.108444657986,1287.1850093800024,1042.2124250625936,1275.716538018586,51617.836128823525,60608.529524674115,3769.8495095115877,287.7982707959602,6322.809703051096,60183.51968593289,11.290000000000001,112.17,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,1957.3056878789123,9.85,1167.79,below_than_avg,56.67839267563059,1878
FR24,7.600188016958943,2974.975893762623,1338.0228442164128,1056.2312577414734,1091.0362213268293,62170.74621374223,58953.96000975942,2588.000433405594,260.35515873479864,6288.473515878157,89756.66146735856,9.0,84.19,11.6,104.3,8.9,65.4,82.7,1017.94,1486.8403718869436,12.3,597.56,below_than_avg,92.09868863627683,2363
FR26,464.1812878576155,4527.094556948481,1629.6197160367965,1080.32980296774,1182.565717080984,61202.773144697276,71862.9520593362,4469.874400477793,300.94646051535915,5936.01685013904,86432.10973488442,11.290000000000001,67.02,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,2320.7585783160384,9.85,1256.2,below_than_avg,146.57273510950193,4096
FR30,102.94273601551154,2112.8049139958866,685.8952252039358,929.2903314158217,1357.8955191351743,28563.467854193404,33538.596628642095,2086.1001420389307,300.09377408545214,6789.661302699909,35572.360109188776,11.290000000000001,130.09,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,1083.1030955468582,9.85,1164.71,below_than_avg,119.82708158846454,7175
FR41,192.81062398460116,2285.230876000406,1282.6946233039655,963.2041317904149,754.2074135811367,30894.531830010175,36275.68075300551,2256.3467281984363,320.33947964614174,6028.935683187976,54268.40524985359,11.290000000000001,383.0675,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,1171.4951150667937,9.85,1763.8,below_than_avg,234.4471696361381,12979
FR51,188.66437200088728,3174.61772811327,1563.4734881250654,926.4038721764834,918.1020112763888,62415.825808626134,64189.197314806304,3481.674755088556,292.29359465601095,6516.4108410256495,54806.16202351705,8.2,73.59,10.5,107.5,6.9,118.3,83.4,898.22,1623.7264041864426,14.4,500.32,below_than_avg,61.75327445559303,2358
FR52,61.15781813677675,3017.855164947459,1613.5064093631606,1050.6401026165065,1069.5472177658996,64889.93379234449,61979.9548849435,3764.9574634571613,325.113055616098,6116.704838196779,48940.2487521304,4.5,77.42,8.3,106.7,6.7,122.4,82.5,1041.05,1506.4495593897796,13.7,590.26,below_than_avg,40.85127871648379,1372
FR61,168.58233982849995,2102.052414386225,1936.7196462063825,1088.7567908143394,1085.6662807406058,28418.10247998479,33367.91179883637,2075.48354851702,340.08903327515645,5675.190049753889,66888.77353938506,11.290000000000001,89.76,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,1077.5909606900411,9.85,1936.6399999999999,below_than_avg,38.23260042828488,2301
FR62,223.61114611423338,2125.5647739778387,1653.9395314062015,1003.1502810050656,1062.3755639002998,28735.97116862824,33741.146231843886,2098.698723926174,352.7474650738846,5910.27999697573,59587.85923704395,11.290000000000001,80.84,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,1089.6442786696573,9.85,1266.14,below_than_avg,50.90854104186093,3030
FR71,156.59438705598834,1568.8012965043042,1025.1550505161986,867.6678224823808,1035.8939433884257,21208.96496665611,24903.10086151714,1548.9724516396404,339.0563613307596,6415.980067821193,36389.84214819523,11.290000000000001,105.21,17.130000000000003,106.05,11.0,245.95999999999998,82.2,800.258,804.2264239759547,9.85,1286.5900000000001,below_than_avg,102.37909879111811,8256
FR82,494.1328372441843,3359.935890744847,740.1160631182323,1013.9078009966161,1197.7157631329242,64325.36195378036,62663.28717094082,3120.126863534651,403.55822909408454,6210.771189908897,15795.510540253215,8.2,103.16,13.2,106.9,8.0,162.4,82.2,989.25,1681.0479870142913,11.1,688.32,below_than_avg,119.38753524807674,6062
FRM0,1228.506911616315,2827.9136199753084,1188.3180528931641,929.8371917528992,909.5981981513125,72074.23662853062,57621.1809741895,1619.986873567007,300.11536226352905,4853.599794140522,45971.42832360416,6.9,176.85,18.8,109.2,8.1,39.6,84.0,929.07,1518.1211274854206,7.5,596.41,below_than_avg,74.01689088580292,256
FRY1,596.5852641985839,2442.4375184766964,1611.4102383917882,882.2773951856393,666.3726549740478,66966.81706495558,46577.032678915,3429.759475819154,279.39188043093714,7331.0684740308525,7502.144508362371,12.2,917.0,22.3,104.7,17.4,247.0,81.8,754.0,1346.2835791238774,6.6,563.0,below_than_avg,21.323924959169528,88
FRY2,543.0477932082897,2538.1675888844734,1795.3371259598523,989.1029150605441,752.3185139277585,70758.79395588362,56074.15631661298,1202.8202912003467,307.9308878581295,6377.059704686497,6717.2288443420475,14.8,1684.0,18.5,100.2,12.4,328.6,82.1,876.55,1582.4423810728115,7.6,521.93,below_than_avg,27.513680413316624,99
FRY3,194.38639850600168,1511.187631471158,1419.714946231334,354.0609401359316,633.1442694195483,34487.27116208355,29827.232145956415,1570.364405073485,216.9491054754483,10069.909679748409,6793.110390647237,26.8,301.0,33.6,104.7,16.1,3.4,79.8,333.05,906.7604812451837,4.4,350.41,below_than_avg,477.63515061474703,1376
FRY4,286.0450623090407,2296.696768892862,1325.773932203469,590.9964078061943,993.0466891830384,54296.044385417415,50634.19609783652,2634.0420466401665,337.62887199512636,8680.434797831147,4924.970065051619,16.4,1946.0,24.7,109.0,17.3,345.7,81.3,549.52,1287.2331238081456,8.2,401.77,below_than_avg,21.82391948257471,187
HR03,559.9060126568457,1277.2066134712281,2670.690536190805,1212.5473685436475,818.6769272427905,51951.08174249273,74072.5148165456,3607.943502775509,327.8492825021364,3846.5513953247996,34023.825849722154,1.4,460.71,9.4,108.8,7.5,56.0,79.9,1225.69,573.7791908877699,10.354621848739496,524.77,below_than_avg,191.87626746794663,2636
