,mean_val_score,std_val_score,rank_val_score,model__C,model__class_weight,model__max_iter,model__penalty,model__solver
42,0.8421052631578947,0.3646422752776584,9,5.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
43,0.7894736842105263,0.40768245749551757,60,5.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
44,0.8421052631578947,0.3646422752776584,9,5.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
45,0.8210526315789474,0.3833082411796447,38,5.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
46,0.8210526315789474,0.3833082411796447,38,5.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
47,0.7894736842105263,0.40768245749551757,60,5.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
48,0.8526315789473684,0.35447280506279455,2,5.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
49,0.8210526315789474,0.3833082411796447,38,5.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
50,0.8210526315789474,0.3833082411796447,38,5.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
51,0.7684210526315789,0.4218413665160815,69,5.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
52,0.8105263157894737,0.3918844309260269,51,5.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
53,0.8105263157894737,0.391884430926027,51,5.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
54,0.8315789473684211,0.37423976493960376,26,5.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l1,liblinear
55,0.7894736842105263,0.40768245749551757,60,5.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l2,liblinear
56,0.8421052631578947,0.3646422752776584,9,10.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
57,0.8315789473684211,0.37423976493960376,26,10.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
58,0.8315789473684211,0.37423976493960376,26,10.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
59,0.8526315789473684,0.35447280506279455,2,10.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
60,0.8315789473684211,0.37423976493960376,26,10.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
61,0.8105263157894737,0.391884430926027,51,10.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
62,0.8421052631578947,0.3646422752776584,9,10.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
63,0.8421052631578947,0.3646422752776584,9,10.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
64,0.8210526315789474,0.38330824117964474,38,10.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
65,0.8,0.39999999999999997,58,10.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
66,0.8315789473684211,0.37423976493960376,26,10.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
67,0.8421052631578947,0.3646422752776584,9,10.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
68,0.8105263157894737,0.3918844309260269,51,10.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l1,liblinear
69,0.7894736842105263,0.40768245749551757,60,10.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l2,liblinear
70,0.8210526315789474,0.38330824117964474,38,20.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
71,0.8421052631578947,0.3646422752776584,9,20.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
72,0.8631578947368421,0.34368058352241065,1,20.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
73,0.8526315789473684,0.35447280506279455,2,20.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
74,0.8421052631578947,0.3646422752776584,9,20.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
75,0.8210526315789474,0.3833082411796447,38,20.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
76,0.8421052631578947,0.3646422752776584,9,20.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
77,0.8315789473684211,0.37423976493960376,26,20.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
78,0.8105263157894737,0.3918844309260269,51,20.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
79,0.8105263157894737,0.3918844309260269,51,20.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
80,0.8421052631578947,0.3646422752776584,9,20.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
81,0.8210526315789474,0.3833082411796447,38,20.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
82,0.8210526315789474,0.38330824117964474,38,20.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l1,liblinear
83,0.8105263157894737,0.391884430926027,51,20.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l2,liblinear
84,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l1,liblinear
85,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 1, 'below_than_avg': 0.5}",1000,l2,liblinear
86,0.8526315789473684,0.35447280506279455,2,50.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l1,liblinear
87,0.8526315789473684,0.35447280506279455,2,50.0,"{'higher_than_avg': 1, 'below_than_avg': 1}",1000,l2,liblinear
88,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l1,liblinear
89,0.8210526315789474,0.3833082411796447,38,50.0,"{'higher_than_avg': 2, 'below_than_avg': 0.5}",1000,l2,liblinear
90,0.8526315789473684,0.35447280506279455,2,50.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l1,liblinear
91,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 2, 'below_than_avg': 1}",1000,l2,liblinear
92,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l1,liblinear
93,0.8210526315789474,0.3833082411796447,38,50.0,"{'higher_than_avg': 3, 'below_than_avg': 0.5}",1000,l2,liblinear
94,0.8421052631578947,0.3646422752776584,9,50.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l1,liblinear
95,0.8315789473684211,0.37423976493960376,26,50.0,"{'higher_than_avg': 3, 'below_than_avg': 1}",1000,l2,liblinear
96,0.8315789473684211,0.3742397649396038,26,50.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l1,liblinear
97,0.8210526315789474,0.3833082411796447,38,50.0,"{'below_than_avg': 0.58, 'higher_than_avg': 3.61}",1000,l2,liblinear
