NUTS,air passengers per100k,GDP per100k,farm labour force per100k,deaths per100k,hosp discharges resp diseases per100k,stock of vehicles per100k,thousand hours worked per100k,students tertiary ed per100k,health personnel per100k,students enrolled per100k,utilised agricultural area per100k,hospital beds,longterm care beds,crude death rate,pop density,NEET rate,unemployment rate,compensation of employees per100k,pct leavers from education,education and training,life expectancy,regional GWA,covid_severity,covid_density_by100k,Covid_Cases
FR41,192.81062398460116,2285.230876000406,1282.6946233039655,963.2041317904149,754.2074135811367,30894.531830010175,36275.68075300551,2256.3467281984363,320.33947964614174,6028.935683187976,54268.40524985359,1763.8,383.0675,800.258,245.95999999999998,17.130000000000003,11.0,1171.4951150667937,11.290000000000001,9.85,82.2,106.05,below_than_avg,260.0432586548921,14396
FR51,188.66437200088728,3174.61772811327,1563.4734881250654,926.4038721764834,918.1020112763888,62415.825808626134,64189.197314806304,3481.674755088556,292.29359465601095,6516.4108410256495,54806.16202351705,500.32,73.59,898.22,118.3,10.5,6.9,1623.7264041864426,8.2,14.4,83.4,107.5,below_than_avg,156.53067066203542,5977
FR52,61.15781813677675,3017.855164947459,1613.5064093631606,1050.6401026165065,1069.5472177658996,64889.93379234449,61979.9548849435,3764.9574634571613,325.113055616098,6116.704838196779,48940.2487521304,590.26,77.42,1041.05,122.4,8.3,6.7,1506.4495593897796,4.5,13.7,82.5,106.7,below_than_avg,95.42882528158204,3205
FR61,168.58233982849995,2102.052414386225,1936.7196462063825,1088.7567908143394,1085.6662807406058,28418.10247998479,33367.91179883637,2075.48354851702,340.08903327515645,5675.190049753889,66888.77353938506,1936.6399999999999,89.76,800.258,245.95999999999998,17.130000000000003,11.0,1077.5909606900411,11.290000000000001,9.85,82.2,106.05,below_than_avg,143.07732389741898,8611
FR62,223.61114611423338,2125.5647739778387,1653.9395314062015,1003.1502810050656,1062.3755639002998,28735.97116862824,33741.146231843886,2098.698723926174,352.7474650738846,5910.27999697573,59587.85923704395,1266.14,80.84,800.258,245.95999999999998,17.130000000000003,11.0,1089.6442786696573,11.290000000000001,9.85,82.2,106.05,below_than_avg,178.34790863345012,10615
FR71,156.59438705598834,1568.8012965043042,1025.1550505161986,867.6678224823808,1035.8939433884257,21208.96496665611,24903.10086151714,1548.9724516396404,339.0563613307596,6415.980067821193,36389.84214819523,1286.5900000000001,105.21,800.258,245.95999999999998,17.130000000000003,11.0,804.2264239759547,11.290000000000001,9.85,82.2,106.05,below_than_avg,345.91387606325577,27895
FR82,494.1328372441843,3359.935890744847,740.1160631182323,1013.9078009966161,1197.7157631329242,64325.36195378036,62663.28717094082,3120.126863534651,403.55822909408454,6210.771189908897,15795.510540253215,688.32,103.16,989.25,162.4,13.2,8.0,1681.0479870142913,8.2,11.1,82.2,106.9,below_than_avg,388.51169710306993,19727
FRM0,1228.506911616315,2827.9136199753084,1188.3180528931641,929.8371917528992,909.5981981513125,72074.23662853062,57621.1809741895,1619.986873567007,300.11536226352905,4853.599794140522,45971.42832360416,596.41,176.85,929.07,39.6,18.8,8.1,1518.1211274854206,6.9,7.5,84.0,109.2,below_than_avg,102.64061040804702,355
FRY1,596.5852641985839,2442.4375184766964,1611.4102383917882,882.2773951856393,666.3726549740478,66966.81706495558,46577.032678915,3429.759475819154,279.39188043093714,7331.0684740308525,7502.144508362371,563.0,917.0,754.0,247.0,22.3,17.4,1346.2835791238774,12.2,6.6,81.8,104.7,below_than_avg,179.31482352028922,740
FRY2,543.0477932082897,2538.1675888844734,1795.3371259598523,989.1029150605441,752.3185139277585,70758.79395588362,56074.15631661298,1202.8202912003467,307.9308878581295,6377.059704686497,6717.2288443420475,521.93,1684.0,876.55,328.6,18.5,12.4,1582.4423810728115,14.8,7.6,82.1,100.2,below_than_avg,83.65270509503337,301
FRY3,194.38639850600168,1511.187631471158,1419.714946231334,354.0609401359316,633.1442694195483,34487.27116208355,29827.232145956415,1570.364405073485,216.9491054754483,10069.909679748409,6793.110390647237,350.41,301.0,333.05,3.4,33.6,16.1,906.7604812451837,26.8,4.4,79.8,104.7,below_than_avg,285.67858209007034,823
FRY4,286.0450623090407,2296.696768892862,1325.773932203469,590.9964078061943,993.0466891830384,54296.044385417415,50634.19609783652,2634.0420466401665,337.62887199512636,8680.434797831147,4924.970065051619,401.77,1946.0,549.52,345.7,24.7,17.3,1287.2331238081456,16.4,8.2,81.3,109.0,below_than_avg,79.12629630580562,678
HR03,559.9060126568457,1277.2066134712281,2670.690536190805,1212.5473685436475,818.6769272427905,51951.08174249273,74072.5148165456,3607.943502775509,327.8492825021364,3846.5513953247996,34023.825849722154,524.77,460.71,1225.69,56.0,9.4,7.5,573.7791908877699,1.4,10.38717948717949,79.9,108.8,higher_than_avg,5286.13293618731,72621
HR04,127.03199977052283,1366.865062586543,5154.295451099572,1308.9138838525191,1042.37020104956,45649.56378850402,73097.92677070873,4257.9934233931845,359.191361227971,3967.123671425959,41119.25250050012,579.08,435.82,1320.16,85.8,13.6,7.5,614.0574132485062,2.6,10.38717948717949,77.9,109.6,higher_than_avg,5960.073209174765,159990
ITC1,92.71164035584384,3195.8927142846205,1288.03537377033,1232.529005150982,1034.904993184059,77596.69717390704,76466.10458253436,3046.1468304657365,365.5116409125312,4609.371321369349,22002.603905115422,346.77,131.19,1213.45,172.3,16.6,7.5,1278.0080427405996,12.0,7.0,83.3,105.0,higher_than_avg,4776.516700504753,205926
ITC2,9060.265019679353,3893.373002543308,0.0,1113.297183166179,1242.0621590927267,217527.2325927348,87303.29350416687,922.9489578834557,368.69971367787963,4629.94065614153,0.0,359.01,906.48,1147.43,38.6,14.7,5.8,1370.8271350192747,11.86,7.5,83.6,101.5,higher_than_avg,5388.934209894908,6738
ITC3,100.9295486829317,3262.059408745654,769.9239126300313,1400.4220809456292,1318.6422581986403,62522.41239328291,74889.5611696023,2256.9788290598403,456.18319729595373,4252.747526603035,2448.1481821532425,351.56,198.78,1416.52,284.3,15.4,8.3,1217.1290363621815,10.7,8.7,83.5,101.0,higher_than_avg,4259.240070670358,64946
ITC4,489.6085823908847,3976.8140977274534,523.8540580290282,997.0778656751634,1053.7314903403626,69486.81250013712,82641.5886869064,3274.1826011842113,368.67239046783067,4932.744638249504,9197.812198768957,350.53,144.36,982.92,435.8,15.7,5.0,1574.7952501505347,11.9,7.9,84.2,106.4,higher_than_avg,4777.293713890918,479048
